Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
1.640625,9.99E-07,1.50E-07,,6.46E-08,60,
1.65625,9.99E-07,2.39E-07,,6.21E-08,60,
1.671875,9.99E-07,2.62E-07,,6.05E-08,60,
1.6875,9.99E-07,1.61E-07,,6.01E-08,60,
1.703125,9.99E-07,6.26E-08,,5.86E-08,60,
1.71875,9.99E-07,2.27E-09,,5.70E-08,60,
1.734375,9.99E-07,4.34E-08,,5.72E-08,60,
1.75,9.99E-07,8.60E-08,,5.70E-08,60,
1.765625,9.99E-07,1.11E-07,,5.80E-08,60,
1.78125,9.99E-07,1.50E-07,,6.02E-08,60,
1.796875,9.99E-07,1.68E-07,,6.35E-08,60,
1.8125,9.99E-07,6.58E-08,,6.44E-08,60,
1.828125,9.99E-07,2.42E-08,,6.86E-08,60,
1.84375,9.99E-07,7.15E-08,,7.05E-08,60,
1.859375,9.99E-07,1.26E-07,,7.35E-08,60,
1.875,9.99E-07,7.77E-08,,7.64E-08,60,
1.890625,9.99E-07,1.54E-08,,7.97E-08,60,
1.90625,9.99E-07,3.25E-08,,8.08E-08,60,
1.921875,9.99E-07,1.39E-07,,8.04E-08,60,
1.9375,9.99E-07,2.14E-07,,8.15E-08,60,
1.953125,9.99E-07,1.83E-07,,8.17E-08,60,
1.96875,9.99E-07,1.05E-07,,7.96E-08,60,
1.984375,9.99E-07,3.02E-08,,7.74E-08,60,
2,9.99E-07,4.40E-09,,7.54E-08,60,
2.015625,9.99E-07,7.00E-08,,7.14E-08,60,
2.03125,9.99E-07,1.01E-07,,6.80E-08,60,
2.046875,9.99E-07,1.65E-07,,6.78E-08,60,
2.0625,9.99E-07,1.77E-07,,6.37E-08,60,
2.078125,9.99E-07,1.26E-07,,6.06E-08,60,
2.09375,9.99E-07,7.12E-08,,5.97E-08,60,
2.109375,9.99E-07,1.23E-08,,5.94E-08,60,
2.125,9.99E-07,1.95E-08,,5.66E-08,60,
2.140625,9.99E-07,1.12E-07,,5.70E-08,60,
2.15625,9.99E-07,1.75E-07,,5.49E-08,60,
2.171875,9.99E-07,1.30E-07,,5.59E-08,60,
2.1875,9.99E-07,5.80E-08,,5.64E-08,60,
