Bits_Input,InputPower,Bits_Output,OutputPower
2.171875,9.99E-04,2.171875,0.005075482
2.1875,9.99E-04,2.1875,4.65E-03
2.203125,9.99E-04,2.203125,3.52E-03
2.21875,9.99E-04,2.21875,2.41E-03
2.234375,9.99E-04,2.234375,2.15E-03
2.25,9.99E-04,2.25,3.00E-03
2.265625,9.99E-04,2.265625,4.38E-03
2.28125,9.99E-04,2.28125,5.30E-03
2.296875,9.99E-04,2.296875,5.42E-03
2.3125,9.99E-04,2.3125,5.08E-03
2.328125,9.99E-04,2.328125,0.005110221
2.34375,9.99E-04,2.34375,0.007015064
2.359375,9.99E-04,2.359375,1.07E-02
2.375,9.99E-04,2.375,1.37E-02
2.390625,9.99E-04,2.390625,1.39E-02
2.40625,9.99E-04,2.40625,1.13E-02
2.421875,9.99E-04,2.421875,0.006486676
2.4375,9.99E-04,2.4375,0.002034571
2.453125,9.99E-04,2.453125,0.000251873
2.46875,9.99E-04,2.46875,0.000982973
2.484375,9.99E-04,2.484375,0.002458417
2.5,9.99E-04,2.5,0.003014382
2.515625,9.99E-04,2.515625,0.002369186
2.53125,9.99E-04,2.53125,0.001219519
2.546875,9.99E-04,2.546875,0.000637887
2.5625,9.99E-04,2.5625,0.000895677
2.578125,9.99E-04,2.578125,0.001628916
2.59375,9.99E-04,2.59375,0.001881891
2.609375,9.99E-04,2.609375,0.001355041
2.625,9.99E-04,2.625,0.000609082
2.640625,9.99E-04,2.640625,3.32E-04
2.65625,9.99E-04,2.65625,8.78E-04
2.671875,9.99E-04,2.671875,1.92E-03
2.6875,9.99E-04,2.6875,2.76E-03
2.703125,9.99E-04,2.703125,2.90E-03
2.71875,9.99E-04,2.71875,2.33E-03
2.734375,9.99E-04,2.734375,0.001307616
2.75,9.99E-04,2.75,0.000570185
2.765625,9.99E-04,2.765625,0.000654068
2.78125,9.99E-04,2.78125,0.001167308
2.796875,9.99E-04,2.796875,0.00194331
2.8125,9.99E-04,2.8125,0.003253512
2.828125,9.99E-04,2.828125,0.004931332
2.84375,9.99E-04,2.84375,0.005791078
2.859375,9.99E-04,2.859375,0.005145353
2.875,9.99E-04,2.875,0.003365041
2.890625,9.99E-04,2.890625,0.001449592
2.90625,9.99E-04,2.90625,0.000338769
2.921875,9.99E-04,2.921875,0.00025517
2.9375,9.99E-04,2.9375,0.000705384
2.953125,9.99E-04,2.953125,0.0012123
2.96875,9.99E-04,2.96875,0.001670886
2.984375,9.99E-04,2.984375,0.003031012
3,9.99E-04,3,0.005618662
3.015625,9.99E-04,3.015625,0.009317394
3.03125,9.99E-04,3.03125,0.01290442
3.046875,9.99E-04,3.046875,0.014575762
3.0625,9.99E-04,3.0625,0.013334941
3.078125,9.99E-04,3.078125,0.010759597
3.09375,9.99E-04,3.09375,0.008126742
3.109375,9.99E-04,3.109375,0.006730415
3.125,9.99E-04,3.125,0.005925911
3.140625,9.99E-04,3.140625,0.004756906
3.15625,9.99E-04,3.15625,0.003128172
3.171875,9.99E-04,3.171875,0.001319922
3.1875,9.99E-04,3.1875,0.000301102
3.203125,9.99E-04,3.203125,0.000191658
3.21875,9.99E-04,3.21875,0.000800335
3.234375,9.99E-04,3.234375,0.00168029
3.25,9.99E-04,3.25,0.002562053
3.265625,9.99E-04,3.265625,0.003864454
3.28125,9.99E-04,3.28125,0.006380474
3.296875,9.99E-04,3.296875,0.009069095
3.3125,9.99E-04,3.3125,0.010545263
3.328125,9.99E-04,3.328125,0.010544895
3.34375,9.99E-04,3.34375,0.009146058
3.359375,9.99E-04,3.359375,0.007090091
3.375,9.99E-04,3.375,0.005043107
3.390625,9.99E-04,3.390625,0.003613423
3.40625,9.99E-04,3.40625,0.002777872
3.421875,9.99E-04,3.421875,0.002408558
3.4375,9.99E-04,3.4375,0.002200164
3.453125,9.99E-04,3.453125,0.001770417
3.46875,9.99E-04,3.46875,0.001409955
3.484375,9.99E-04,3.484375,0.001359953
3.5,9.99E-04,3.5,0.001720846
3.515625,9.99E-04,3.515625,0.002612099
3.53125,9.99E-04,3.53125,0.003944785
3.546875,9.99E-04,3.546875,0.005286413
3.5625,9.99E-04,3.5625,0.005788713
3.578125,9.99E-04,3.578125,0.005398455
3.59375,9.99E-04,3.59375,0.004574283
3.609375,9.99E-04,3.609375,0.003876763
3.625,9.99E-04,3.625,0.003207467
3.640625,9.99E-04,3.640625,0.002438654
3.65625,9.99E-04,3.65625,0.001797475
3.671875,9.99E-04,3.671875,0.001242607
3.6875,9.99E-04,3.6875,0.00076522
3.703125,9.99E-04,3.703125,0.000715846
3.71875,9.99E-04,3.71875,0.001188887
3.734375,9.99E-04,3.734375,0.002237466
3.75,9.99E-04,3.75,0.003914769
3.765625,9.99E-04,3.765625,0.006291548
3.78125,9.99E-04,3.78125,0.008472549
3.796875,9.99E-04,3.796875,0.00970705
3.8125,9.99E-04,3.8125,0.009820661
3.828125,9.99E-04,3.828125,0.009000275
3.84375,9.99E-04,3.84375,0.008144684
3.859375,9.99E-04,3.859375,0.007721423
3.875,9.99E-04,3.875,0.008568932
3.890625,9.99E-04,3.890625,0.010434408
3.90625,9.99E-04,3.90625,0.013009832
3.921875,9.99E-04,3.921875,0.015647268
3.9375,9.99E-04,3.9375,0.016714014
3.953125,9.99E-04,3.953125,0.01613176
3.96875,9.99E-04,3.96875,0.014451465
3.984375,9.99E-04,3.984375,0.011941715
4,9.99E-04,4,0.009077712
4.015625,9.99E-04,4.015625,0.006720815
4.03125,9.99E-04,4.03125,0.004997295
4.046875,9.99E-04,4.046875,0.004010949
4.0625,9.99E-04,4.0625,0.003619307
4.078125,9.99E-04,4.078125,0.003526566
4.09375,9.99E-04,4.09375,0.003224248
4.109375,9.99E-04,4.109375,0.003052002
4.125,9.99E-04,4.125,0.0033363
4.140625,9.99E-04,4.140625,0.004012732
4.15625,9.99E-04,4.15625,0.005010005
4.171875,9.99E-04,4.171875,0.006980986
4.1875,9.99E-04,4.1875,0.009104976
4.203125,9.99E-04,4.203125,0.009918361
4.21875,9.99E-04,4.21875,0.009432943
4.234375,9.99E-04,4.234375,0.007435558
4.25,9.99E-04,4.25,0.004321775
4.265625,9.99E-04,4.265625,0.00158265
4.28125,9.99E-04,4.28125,0.000528081
4.296875,9.99E-04,4.296875,0.001366732
4.3125,9.99E-04,4.3125,0.003773575
4.328125,9.99E-04,4.328125,0.007715663
4.34375,9.99E-04,4.34375,0.012513089
4.359375,9.99E-04,4.359375,0.016650554
4.375,9.99E-04,4.375,0.018588034
4.390625,9.99E-04,4.390625,0.017437956
4.40625,9.99E-04,4.40625,0.014961058
4.421875,9.99E-04,4.421875,0.012701454
4.4375,9.99E-04,4.4375,0.011582653
4.453125,9.99E-04,4.453125,0.012175593
4.46875,9.99E-04,4.46875,0.013382153
4.484375,9.99E-04,4.484375,0.013969676
4.5,9.99E-04,4.5,0.014068298
4.515625,9.99E-04,4.515625,0.014346958
4.53125,9.99E-04,4.53125,0.014903593
4.546875,9.99E-04,4.546875,0.015703192
4.5625,9.99E-04,4.5625,0.015765092
4.578125,9.99E-04,4.578125,0.015159866
4.59375,9.99E-04,4.59375,0.012746727
4.609375,9.99E-04,4.609375,0.009036394
4.625,9.99E-04,4.625,0.005453873
4.640625,9.99E-04,4.640625,0.002728141
4.65625,9.99E-04,4.65625,0.000920356
4.671875,9.99E-04,4.671875,0.000167124
4.6875,9.99E-04,4.6875,0.000183525
4.703125,9.99E-04,4.703125,0.000431674
4.71875,9.99E-04,4.71875,0.000538565
4.734375,9.99E-04,4.734375,0.000390095
4.75,9.99E-04,4.75,0.000273024
4.765625,9.99E-04,4.765625,0.000380838
4.78125,9.99E-04,4.78125,0.000935267
4.796875,9.99E-04,4.796875,0.001920362
4.8125,9.99E-04,4.8125,0.003704095
4.828125,9.99E-04,4.828125,0.005885568
4.84375,9.99E-04,4.84375,0.0072377
4.859375,9.99E-04,4.859375,0.007218204
4.875,9.99E-04,4.875,0.006309912
4.890625,9.99E-04,4.890625,0.004786033
4.90625,9.99E-04,4.90625,0.003200004
4.921875,9.99E-04,4.921875,0.001780308
4.9375,9.99E-04,4.9375,0.000813212
4.953125,9.99E-04,4.953125,0.000391031
4.96875,9.99E-04,4.96875,0.000346358
4.984375,9.99E-04,4.984375,0.000549375
5,9.99E-04,5,0.000864089
5.015625,9.99E-04,5.015625,0.000990321
5.03125,9.99E-04,5.03125,0.00097822
5.046875,9.99E-04,5.046875,0.001059336
5.0625,9.99E-04,5.0625,0.001234478
5.078125,9.99E-04,5.078125,0.001732489
5.09375,9.99E-04,5.09375,0.002834922
5.109375,9.99E-04,5.109375,0.004303503
5.125,9.99E-04,5.125,0.005817481
5.140625,9.99E-04,5.140625,0.007486317
5.15625,9.99E-04,5.15625,0.009617381
5.171875,9.99E-04,5.171875,0.012070231
5.1875,9.99E-04,5.1875,0.014045898
5.203125,9.99E-04,5.203125,0.015577039
5.21875,9.99E-04,5.21875,0.016241188
5.234375,9.99E-04,5.234375,0.016135849
5.25,9.99E-04,5.25,0.014859162
5.265625,9.99E-04,5.265625,0.012146865
5.28125,9.99E-04,5.28125,0.008405567
5.296875,9.99E-04,5.296875,0.005256577
5.3125,9.99E-04,5.3125,0.00316193
5.328125,9.99E-04,5.328125,0.002269021
5.34375,9.99E-04,5.34375,0.001869997
5.359375,9.99E-04,5.359375,0.001912758
5.375,9.99E-04,5.375,0.002590481
5.390625,9.99E-04,5.390625,0.003585247
5.40625,9.99E-04,5.40625,0.004257903
5.421875,9.99E-04,5.421875,0.00421443
5.4375,9.99E-04,5.4375,0.003697364
5.453125,9.99E-04,5.453125,0.0035822
5.46875,9.99E-04,5.46875,0.004328661
