Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
0,9.99E-07,1.62E-07,31.046875,7.90E-08,40,
0.015625,9.99E-07,1.56E-07,48.15625,7.64E-08,40,
0.03125,9.99E-07,1.59E-07,1.71E+01,7.73E-08,40,
0.046875,9.99E-07,1.73E-07,,7.45E-08,40,
0.0625,9.99E-07,1.50E-07,,7.34E-08,40,
0.078125,9.99E-07,1.80E-07,,7.47E-08,40,
0.09375,9.99E-07,1.49E-07,,7.38E-08,40,
0.109375,9.99E-07,1.65E-07,,7.38E-08,40,
0.125,9.99E-07,1.68E-07,,7.43E-08,40,
0.140625,9.99E-07,1.49E-07,,7.50E-08,40,
0.15625,9.99E-07,1.73E-07,,7.83E-08,40,
0.171875,9.99E-07,1.56E-07,,7.61E-08,40,
0.1875,9.99E-07,1.52E-07,,7.80E-08,40,
0.203125,9.99E-07,1.76E-07,,7.90E-08,40,
0.21875,9.99E-07,1.26E-07,,8.15E-08,40,
0.234375,9.99E-07,1.87E-07,,8.57E-08,40,
0.25,9.99E-07,1.29E-07,,8.54E-08,40,
0.265625,9.99E-07,1.67E-07,,8.59E-08,40,
0.28125,9.99E-07,1.46E-07,,8.97E-08,40,
0.296875,9.99E-07,1.55E-07,,9.45E-08,40,
0.3125,9.99E-07,1.56E-07,,9.73E-08,40,
0.328125,9.99E-07,1.65E-07,,1.03E-07,40,
0.34375,9.99E-07,1.38E-07,,1.09E-07,40,
0.359375,9.99E-07,1.81E-07,,1.17E-07,40,
0.375,9.99E-07,1.26E-07,,1.26E-07,40,
0.390625,9.99E-07,1.84E-07,,1.31E-07,40,
0.40625,9.99E-07,1.38E-07,,1.39E-07,40,
0.421875,9.99E-07,1.66E-07,,1.45E-07,40,
0.4375,9.99E-07,1.52E-07,,1.52E-07,40,
0.453125,9.99E-07,1.49E-07,,1.61E-07,40,
0.46875,9.99E-07,1.56E-07,,1.71E-07,40,
0.484375,9.99E-07,1.61E-07,,1.78E-07,40,
0.5,9.99E-07,1.48E-07,,1.85E-07,40,
0.515625,9.99E-07,1.74E-07,,1.93E-07,40,
0.53125,9.99E-07,1.43E-07,,2.02E-07,40,
0.546875,9.99E-07,1.74E-07,,2.08E-07,40,
0.5625,9.99E-07,1.51E-07,,2.11E-07,40,
0.578125,9.99E-07,1.62E-07,,2.11E-07,40,
0.59375,9.99E-07,1.57E-07,,2.11E-07,40,
0.609375,9.99E-07,1.55E-07,,2.11E-07,40,
0.625,9.99E-07,1.63E-07,,2.13E-07,40,
0.640625,9.99E-07,1.53E-07,,2.11E-07,40,
0.65625,9.99E-07,1.69E-07,,2.09E-07,40,
0.671875,9.99E-07,1.57E-07,,2.07E-07,40,
0.6875,9.99E-07,1.73E-07,,2.04E-07,40,
0.703125,9.99E-07,1.55E-07,,2.00E-07,40,
0.71875,9.99E-07,1.71E-07,,1.95E-07,40,
0.734375,9.99E-07,1.59E-07,,1.88E-07,40,
0.75,9.99E-07,1.65E-07,,1.83E-07,40,
0.765625,9.99E-07,1.68E-07,,1.73E-07,40,
0.78125,9.99E-07,1.61E-07,,1.68E-07,40,
0.796875,9.99E-07,1.71E-07,,1.60E-07,40,
0.8125,9.99E-07,1.57E-07,,1.54E-07,40,
0.828125,9.99E-07,1.64E-07,,1.46E-07,40,
0.84375,9.99E-07,1.64E-07,,1.40E-07,40,
0.859375,9.99E-07,1.57E-07,,1.36E-07,40,
0.875,9.99E-07,1.68E-07,,1.29E-07,40,
0.890625,9.99E-07,1.48E-07,,1.25E-07,40,
0.90625,9.99E-07,1.66E-07,,1.21E-07,40,
0.921875,9.99E-07,1.47E-07,,1.17E-07,40,
0.9375,9.99E-07,1.64E-07,,1.13E-07,40,
0.953125,9.99E-07,1.42E-07,,1.11E-07,40,
0.96875,9.99E-07,1.57E-07,,1.13E-07,40,
0.984375,9.99E-07,1.38E-07,,1.16E-07,40,
1,9.99E-07,1.58E-07,,1.23E-07,40,
1.015625,9.99E-07,1.41E-07,,1.27E-07,40,
1.03125,9.99E-07,1.56E-07,,1.33E-07,40,
1.046875,9.99E-07,1.39E-07,,1.39E-07,40,
1.0625,9.99E-07,1.54E-07,,1.43E-07,40,
1.078125,9.99E-07,1.38E-07,,1.48E-07,40,
1.09375,9.99E-07,1.57E-07,,1.56E-07,40,
1.109375,9.99E-07,1.40E-07,,1.64E-07,40,
1.125,9.99E-07,1.55E-07,,1.69E-07,40,
1.140625,9.99E-07,1.43E-07,,1.73E-07,40,
1.15625,9.99E-07,1.57E-07,,1.79E-07,40,
1.171875,9.99E-07,1.54E-07,,1.80E-07,40,
1.1875,9.99E-07,1.57E-07,,1.80E-07,40,
1.203125,9.99E-07,1.71E-07,,1.83E-07,40,
1.21875,9.99E-07,1.58E-07,,1.80E-07,40,
1.234375,9.99E-07,1.74E-07,,1.72E-07,40,
1.25,9.99E-07,1.67E-07,,1.66E-07,40,
1.265625,9.99E-07,1.68E-07,,1.58E-07,40,
1.28125,9.99E-07,1.77E-07,,1.52E-07,40,
1.296875,9.99E-07,1.61E-07,,1.46E-07,40,
1.3125,9.99E-07,1.82E-07,,1.36E-07,40,
1.328125,9.99E-07,1.50E-07,,1.32E-07,40,
1.34375,9.99E-07,1.83E-07,,1.26E-07,40,
1.359375,9.99E-07,1.51E-07,,1.27E-07,40,
1.375,9.99E-07,1.73E-07,,1.28E-07,40,
1.390625,9.99E-07,1.58E-07,,1.31E-07,40,
1.40625,9.99E-07,1.68E-07,,1.34E-07,40,
1.421875,9.99E-07,1.62E-07,,1.40E-07,40,
1.4375,9.99E-07,1.65E-07,,1.49E-07,40,
1.453125,9.99E-07,1.60E-07,,1.58E-07,40,
1.46875,9.99E-07,1.68E-07,,1.66E-07,40,
1.484375,9.99E-07,1.65E-07,,1.70E-07,40,
1.5,9.99E-07,1.68E-07,,1.80E-07,40,
