Bits,InputPower,OutputPower
0,9.99E-07,2.44E-07
0.015625,9.99E-07,2.45E-07
0.03125,9.99E-07,2.38E-07
0.046875,9.99E-07,2.38E-07
0.0625,9.99E-07,2.33E-07
0.078125,9.99E-07,2.34E-07
0.09375,9.99E-07,2.34E-07
0.109375,9.99E-07,2.27E-07
0.125,9.99E-07,2.30E-07
0.140625,9.99E-07,2.27E-07
0.15625,9.99E-07,2.32E-07
0.171875,9.99E-07,2.34E-07
0.1875,9.99E-07,2.44E-07
0.203125,9.99E-07,2.40E-07
0.21875,9.99E-07,2.46E-07
0.234375,9.99E-07,2.43E-07
0.25,9.99E-07,2.59E-07
0.265625,9.99E-07,2.51E-07
0.28125,9.99E-07,2.62E-07
0.296875,9.99E-07,2.52E-07
0.3125,9.99E-07,2.70E-07
0.328125,9.99E-07,2.51E-07
0.34375,9.99E-07,2.72E-07
0.359375,9.99E-07,2.56E-07
0.375,9.99E-07,2.71E-07
0.390625,9.99E-07,2.50E-07
0.40625,9.99E-07,2.69E-07
0.421875,9.99E-07,2.54E-07
0.4375,9.99E-07,2.66E-07
0.453125,9.99E-07,2.53E-07
0.46875,9.99E-07,2.63E-07
0.484375,9.99E-07,2.56E-07
0.5,9.99E-07,2.61E-07
0.515625,9.99E-07,2.57E-07
0.53125,9.99E-07,2.53E-07
0.546875,9.99E-07,2.60E-07
0.5625,9.99E-07,2.56E-07
0.578125,9.99E-07,2.61E-07
0.59375,9.99E-07,2.53E-07
0.609375,9.99E-07,2.61E-07
0.625,9.99E-07,2.56E-07
0.640625,9.99E-07,2.67E-07
0.65625,9.99E-07,2.57E-07
0.671875,9.99E-07,2.68E-07
0.6875,9.99E-07,2.54E-07
0.703125,9.99E-07,2.61E-07
0.71875,9.99E-07,2.53E-07
0.734375,9.99E-07,2.54E-07
0.75,9.99E-07,2.50E-07
0.765625,9.99E-07,2.47E-07
0.78125,9.99E-07,2.54E-07
0.796875,9.99E-07,2.47E-07
0.8125,9.99E-07,2.59E-07
0.828125,9.99E-07,2.46E-07
0.84375,9.99E-07,2.55E-07
0.859375,9.99E-07,2.41E-07
0.875,9.99E-07,2.54E-07
0.890625,9.99E-07,2.40E-07
0.90625,9.99E-07,2.50E-07
0.921875,9.99E-07,2.46E-07
0.9375,9.99E-07,2.49E-07
0.953125,9.99E-07,2.52E-07
0.96875,9.99E-07,2.44E-07
0.984375,9.99E-07,2.50E-07
1,9.99E-07,2.36E-07
1.015625,9.99E-07,2.49E-07
1.03125,9.99E-07,2.34E-07
1.046875,9.99E-07,2.41E-07
1.0625,9.99E-07,2.27E-07
1.078125,9.99E-07,2.33E-07
1.09375,9.99E-07,2.31E-07
1.109375,9.99E-07,2.33E-07
1.125,9.99E-07,2.37E-07
1.140625,9.99E-07,2.29E-07
1.15625,9.99E-07,2.48E-07
1.171875,9.99E-07,2.38E-07
1.1875,9.99E-07,2.47E-07
1.203125,9.99E-07,2.36E-07
1.21875,9.99E-07,2.41E-07
1.234375,9.99E-07,2.38E-07
1.25,9.99E-07,2.43E-07
1.265625,9.99E-07,2.45E-07
1.28125,9.99E-07,2.41E-07
1.296875,9.99E-07,2.55E-07
1.3125,9.99E-07,2.44E-07
1.328125,9.99E-07,2.58E-07
1.34375,9.99E-07,2.43E-07
1.359375,9.99E-07,2.47E-07
1.375,9.99E-07,2.48E-07
1.390625,9.99E-07,2.47E-07
