Bits,InputPower,OutputPower
0,9.99E-07,1.62E-07
0.015625,9.99E-07,1.56E-07
0.03125,9.99E-07,1.59E-07
0.046875,9.99E-07,1.73E-07
0.0625,9.99E-07,1.50E-07
0.078125,9.99E-07,1.80E-07
0.09375,9.99E-07,1.49E-07
0.109375,9.99E-07,1.65E-07
0.125,9.99E-07,1.68E-07
0.140625,9.99E-07,1.49E-07
0.15625,9.99E-07,1.73E-07
0.171875,9.99E-07,1.56E-07
0.1875,9.99E-07,1.52E-07
0.203125,9.99E-07,1.76E-07
0.21875,9.99E-07,1.26E-07
0.234375,9.99E-07,1.87E-07
0.25,9.99E-07,1.29E-07
0.265625,9.99E-07,1.67E-07
0.28125,9.99E-07,1.46E-07
0.296875,9.99E-07,1.55E-07
0.3125,9.99E-07,1.56E-07
0.328125,9.99E-07,1.65E-07
0.34375,9.99E-07,1.38E-07
0.359375,9.99E-07,1.81E-07
0.375,9.99E-07,1.26E-07
0.390625,9.99E-07,1.84E-07
0.40625,9.99E-07,1.38E-07
0.421875,9.99E-07,1.66E-07
0.4375,9.99E-07,1.52E-07
0.453125,9.99E-07,1.49E-07
0.46875,9.99E-07,1.56E-07
0.484375,9.99E-07,1.61E-07
0.5,9.99E-07,1.48E-07
0.515625,9.99E-07,1.74E-07
0.53125,9.99E-07,1.43E-07
0.546875,9.99E-07,1.74E-07
0.5625,9.99E-07,1.51E-07
0.578125,9.99E-07,1.62E-07
0.59375,9.99E-07,1.57E-07
0.609375,9.99E-07,1.55E-07
0.625,9.99E-07,1.63E-07
0.640625,9.99E-07,1.53E-07
0.65625,9.99E-07,1.69E-07
0.671875,9.99E-07,1.57E-07
0.6875,9.99E-07,1.73E-07
0.703125,9.99E-07,1.55E-07
0.71875,9.99E-07,1.71E-07
0.734375,9.99E-07,1.59E-07
0.75,9.99E-07,1.65E-07
0.765625,9.99E-07,1.68E-07
0.78125,9.99E-07,1.61E-07
0.796875,9.99E-07,1.71E-07
0.8125,9.99E-07,1.57E-07
0.828125,9.99E-07,1.64E-07
0.84375,9.99E-07,1.64E-07
0.859375,9.99E-07,1.57E-07
0.875,9.99E-07,1.68E-07
0.890625,9.99E-07,1.48E-07
0.90625,9.99E-07,1.66E-07
0.921875,9.99E-07,1.47E-07
0.9375,9.99E-07,1.64E-07
0.953125,9.99E-07,1.42E-07
0.96875,9.99E-07,1.57E-07
0.984375,9.99E-07,1.38E-07
1,9.99E-07,1.58E-07
1.015625,9.99E-07,1.41E-07
1.03125,9.99E-07,1.56E-07
1.046875,9.99E-07,1.39E-07
1.0625,9.99E-07,1.54E-07
1.078125,9.99E-07,1.38E-07
1.09375,9.99E-07,1.57E-07
1.109375,9.99E-07,1.40E-07
1.125,9.99E-07,1.55E-07
1.140625,9.99E-07,1.43E-07
1.15625,9.99E-07,1.57E-07
1.171875,9.99E-07,1.54E-07
1.1875,9.99E-07,1.57E-07
1.203125,9.99E-07,1.71E-07
1.21875,9.99E-07,1.58E-07
1.234375,9.99E-07,1.74E-07
1.25,9.99E-07,1.67E-07
1.265625,9.99E-07,1.68E-07
1.28125,9.99E-07,1.77E-07
1.296875,9.99E-07,1.61E-07
1.3125,9.99E-07,1.82E-07
1.328125,9.99E-07,1.50E-07
1.34375,9.99E-07,1.83E-07
1.359375,9.99E-07,1.51E-07
1.375,9.99E-07,1.73E-07
1.390625,9.99E-07,1.58E-07
1.40625,9.99E-07,1.68E-07
1.421875,9.99E-07,1.62E-07
1.4375,9.99E-07,1.65E-07
1.453125,9.99E-07,1.60E-07
1.46875,9.99E-07,1.68E-07
1.484375,9.99E-07,1.65E-07
1.5,9.99E-07,1.68E-07
1.515625,9.99E-07,1.65E-07
1.53125,9.99E-07,1.61E-07
1.546875,9.99E-07,1.67E-07
1.5625,9.99E-07,1.60E-07
1.578125,9.99E-07,1.74E-07
1.59375,9.99E-07,1.65E-07
1.609375,9.99E-07,1.74E-07
1.625,9.99E-07,1.70E-07
1.640625,9.99E-07,1.60E-07
1.65625,9.99E-07,1.69E-07
1.671875,9.99E-07,1.52E-07
1.6875,9.99E-07,1.73E-07
1.703125,9.99E-07,1.53E-07
1.71875,9.99E-07,1.75E-07
1.734375,9.99E-07,1.58E-07
1.75,9.99E-07,1.68E-07
1.765625,9.99E-07,1.63E-07
1.78125,9.99E-07,1.66E-07
1.796875,9.99E-07,1.67E-07
1.8125,9.99E-07,1.62E-07
1.828125,9.99E-07,1.65E-07
1.84375,9.99E-07,1.65E-07
1.859375,9.99E-07,1.64E-07
1.875,9.99E-07,1.67E-07
1.890625,9.99E-07,1.66E-07
1.90625,9.99E-07,1.72E-07
1.921875,9.99E-07,1.67E-07
1.9375,9.99E-07,1.81E-07
1.953125,9.99E-07,1.72E-07
1.96875,9.99E-07,1.79E-07
1.984375,9.99E-07,1.71E-07
2,9.99E-07,1.75E-07
2.015625,9.99E-07,1.64E-07
2.03125,9.99E-07,1.67E-07
2.046875,9.99E-07,1.60E-07
2.0625,9.99E-07,1.65E-07
2.078125,9.99E-07,1.57E-07
2.09375,9.99E-07,1.64E-07
2.109375,9.99E-07,1.53E-07
2.125,9.99E-07,1.69E-07
2.140625,9.99E-07,1.54E-07
2.15625,9.99E-07,1.67E-07
2.171875,9.99E-07,1.51E-07
2.1875,9.99E-07,1.65E-07
2.203125,9.99E-07,1.46E-07
2.21875,9.99E-07,1.62E-07
2.234375,9.99E-07,1.47E-07
2.25,9.99E-07,1.62E-07
2.265625,9.99E-07,1.44E-07
2.28125,9.99E-07,1.61E-07
2.296875,9.99E-07,1.44E-07
2.3125,9.99E-07,1.59E-07
2.328125,9.99E-07,1.46E-07
2.34375,9.99E-07,1.61E-07
2.359375,9.99E-07,1.52E-07
2.375,9.99E-07,1.58E-07
2.390625,9.99E-07,1.51E-07
2.40625,9.99E-07,1.50E-07
2.421875,9.99E-07,1.64E-07
2.4375,9.99E-07,1.46E-07
2.453125,9.99E-07,1.67E-07
2.46875,9.99E-07,1.44E-07
2.484375,9.99E-07,1.69E-07
2.5,9.99E-07,1.42E-07
2.515625,9.99E-07,1.58E-07
2.53125,9.99E-07,1.48E-07
2.546875,9.99E-07,1.49E-07
2.5625,9.99E-07,1.56E-07
2.578125,9.99E-07,1.49E-07
2.59375,9.99E-07,1.58E-07
2.609375,9.99E-07,1.46E-07
2.625,9.99E-07,1.45E-07
2.640625,9.99E-07,1.48E-07
2.65625,9.99E-07,1.42E-07
2.671875,9.99E-07,1.56E-07
2.6875,9.99E-07,1.38E-07
2.703125,9.99E-07,1.57E-07
2.71875,9.99E-07,1.37E-07
2.734375,9.99E-07,1.53E-07
2.75,9.99E-07,1.43E-07
2.765625,9.99E-07,1.49E-07
2.78125,9.99E-07,1.49E-07
2.796875,9.99E-07,1.55E-07
2.8125,9.99E-07,1.52E-07
2.828125,9.99E-07,1.56E-07
2.84375,9.99E-07,1.58E-07
2.859375,9.99E-07,1.51E-07
2.875,9.99E-07,1.59E-07
2.890625,9.99E-07,1.40E-07
2.90625,9.99E-07,1.60E-07
2.921875,9.99E-07,1.35E-07
2.9375,9.99E-07,1.61E-07
2.953125,9.99E-07,1.38E-07
2.96875,9.99E-07,1.55E-07
2.984375,9.99E-07,1.39E-07
3,9.99E-07,1.48E-07
3.015625,9.99E-07,1.47E-07
3.03125,9.99E-07,1.47E-07
3.046875,9.99E-07,1.47E-07
3.0625,9.99E-07,1.52E-07
3.078125,9.99E-07,1.44E-07
3.09375,9.99E-07,1.57E-07
3.109375,9.99E-07,1.46E-07
3.125,9.99E-07,1.62E-07
3.140625,9.99E-07,1.57E-07
3.15625,9.99E-07,1.62E-07
3.171875,9.99E-07,1.60E-07
3.1875,9.99E-07,1.64E-07
3.203125,9.99E-07,1.53E-07
3.21875,9.99E-07,1.64E-07
3.234375,9.99E-07,1.44E-07
3.25,9.99E-07,1.67E-07
3.265625,9.99E-07,1.48E-07
3.28125,9.99E-07,1.61E-07
3.296875,9.99E-07,1.54E-07
3.3125,9.99E-07,1.54E-07
3.328125,9.99E-07,1.58E-07
3.34375,9.99E-07,1.55E-07
3.359375,9.99E-07,1.59E-07
3.375,9.99E-07,1.56E-07
3.390625,9.99E-07,1.62E-07
3.40625,9.99E-07,1.61E-07
3.421875,9.99E-07,1.71E-07
3.4375,9.99E-07,1.59E-07
3.453125,9.99E-07,1.79E-07
3.46875,9.99E-07,1.56E-07
3.484375,9.99E-07,1.82E-07
3.5,9.99E-07,1.58E-07
3.515625,9.99E-07,1.73E-07
3.53125,9.99E-07,1.65E-07
3.546875,9.99E-07,1.73E-07
3.5625,9.99E-07,1.61E-07
3.578125,9.99E-07,1.68E-07
3.59375,9.99E-07,1.55E-07
3.609375,9.99E-07,1.75E-07
3.625,9.99E-07,1.60E-07
3.640625,9.99E-07,1.69E-07
3.65625,9.99E-07,1.71E-07
3.671875,9.99E-07,1.64E-07
3.6875,9.99E-07,1.75E-07
3.703125,9.99E-07,1.64E-07
3.71875,9.99E-07,1.70E-07
3.734375,9.99E-07,1.65E-07
3.75,9.99E-07,1.66E-07
3.765625,9.99E-07,1.63E-07
3.78125,9.99E-07,1.71E-07
3.796875,9.99E-07,1.55E-07
3.8125,9.99E-07,1.74E-07
3.828125,9.99E-07,1.53E-07
3.84375,9.99E-07,1.70E-07
3.859375,9.99E-07,1.60E-07
3.875,9.99E-07,1.66E-07
3.890625,9.99E-07,1.61E-07
3.90625,9.99E-07,1.69E-07
3.921875,9.99E-07,1.60E-07
3.9375,9.99E-07,1.79E-07
3.953125,9.99E-07,1.63E-07
3.96875,9.99E-07,1.75E-07
3.984375,9.99E-07,1.71E-07
4,9.99E-07,1.72E-07
4.015625,9.99E-07,1.72E-07
4.03125,9.99E-07,1.69E-07
4.046875,9.99E-07,1.61E-07
4.0625,9.99E-07,1.70E-07
4.078125,9.99E-07,1.58E-07
4.09375,9.99E-07,1.64E-07
4.109375,9.99E-07,1.62E-07
4.125,9.99E-07,1.54E-07
4.140625,9.99E-07,1.60E-07
4.15625,9.99E-07,1.52E-07
4.171875,9.99E-07,1.49E-07
4.1875,9.99E-07,1.53E-07
4.203125,9.99E-07,1.50E-07
4.21875,9.99E-07,1.47E-07
4.234375,9.99E-07,1.54E-07
4.25,9.99E-07,1.41E-07
4.265625,9.99E-07,1.50E-07
4.28125,9.99E-07,1.48E-07
4.296875,9.99E-07,1.50E-07
4.3125,9.99E-07,1.48E-07
4.328125,9.99E-07,1.52E-07
4.34375,9.99E-07,1.49E-07
4.359375,9.99E-07,1.59E-07
4.375,9.99E-07,1.47E-07
4.390625,9.99E-07,1.53E-07
4.40625,9.99E-07,1.51E-07
4.421875,9.99E-07,1.50E-07
4.4375,9.99E-07,1.48E-07
4.453125,9.99E-07,1.55E-07
4.46875,9.99E-07,1.47E-07
4.484375,9.99E-07,1.59E-07
4.5,9.99E-07,1.50E-07
4.515625,9.99E-07,1.52E-07
4.53125,9.99E-07,1.54E-07
4.546875,9.99E-07,1.55E-07
4.5625,9.99E-07,1.53E-07
4.578125,9.99E-07,1.64E-07
4.59375,9.99E-07,1.54E-07
4.609375,9.99E-07,1.62E-07
4.625,9.99E-07,1.63E-07
