Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,,
1.703125,9.99E-07,1.40E-05,,1.10E-08,,
1.71875,9.99E-07,1.39E-05,,9.72E-09,,
1.734375,9.99E-07,1.39E-05,,1.05E-08,,
1.75,9.99E-07,1.44E-05,,1.22E-08,,
1.765625,9.99E-07,1.52E-05,,9.97E-09,,
1.78125,9.99E-07,1.62E-05,,1.25E-08,,
1.796875,9.99E-07,1.62E-05,,1.19E-08,,
1.8125,9.99E-07,1.48E-05,,1.17E-08,,
1.828125,9.99E-07,1.33E-05,,1.37E-08,,
1.84375,9.99E-07,1.21E-05,,1.21E-08,,
1.859375,9.99E-07,1.07E-05,,1.32E-08,,
1.875,9.99E-07,9.47E-06,,1.38E-08,,
1.890625,9.99E-07,8.62E-06,,1.20E-08,,
1.90625,9.99E-07,8.28E-06,,1.52E-08,,
1.921875,9.99E-07,8.07E-06,,1.24E-08,,
1.9375,9.99E-07,8.02E-06,,1.37E-08,,
1.953125,9.99E-07,7.95E-06,,1.32E-08,,
1.96875,9.99E-07,7.98E-06,,1.34E-08,,
1.984375,9.99E-07,7.78E-06,,1.12E-08,,
2,9.99E-07,7.68E-06,,1.50E-08,,
2.015625,9.99E-07,7.24E-06,,1.04E-08,,
2.03125,9.99E-07,6.88E-06,,1.26E-08,,
2.046875,9.99E-07,6.41E-06,,1.35E-08,,
2.0625,9.99E-07,5.92E-06,,8.87E-09,,
2.078125,9.99E-07,5.65E-06,,1.41E-08,,
2.09375,9.99E-07,5.44E-06,,9.32E-09,,
2.109375,9.99E-07,5.32E-06,,1.10E-08,,
2.125,9.99E-07,5.15E-06,,9.59E-09,,
2.140625,9.99E-07,5.15E-06,,1.02E-08,,
2.15625,9.99E-07,5.24E-06,,8.42E-09,,
2.171875,9.99E-07,5.33E-06,,9.23E-09,,
2.1875,9.99E-07,5.36E-06,,9.31E-09,,
2.203125,9.99E-07,5.90E-06,,8.45E-09,,
2.21875,9.99E-07,6.94E-06,,7.90E-09,,
2.234375,9.99E-07,8.47E-06,,1.09E-08,,
2.25,9.99E-07,1.00E-05,,6.37E-09,,
2.265625,9.99E-07,1.14E-05,,1.07E-08,,
2.28125,9.99E-07,1.26E-05,,8.50E-09,,
2.296875,9.99E-07,1.40E-05,,8.71E-09,,
2.3125,9.99E-07,1.53E-05,,9.27E-09,,
2.328125,9.99E-07,1.60E-05,,1.08E-08,,
2.34375,9.99E-07,1.67E-05,,8.27E-09,,
2.359375,9.99E-07,1.69E-05,,1.13E-08,,
2.375,9.99E-07,1.65E-05,,1.05E-08,,
2.390625,9.99E-07,1.60E-05,,9.84E-09,,
2.40625,9.99E-07,1.59E-05,,1.20E-08,,
2.421875,9.99E-07,1.56E-05,,1.08E-08,,
2.4375,9.99E-07,1.56E-05,,1.17E-08,,
2.453125,9.99E-07,1.55E-05,,1.13E-08,,
2.46875,9.99E-07,1.50E-05,,1.18E-08,,
