Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
0,9.99E-07,2.44E-07,31.046875,1.10E-07,3.00E+01,
0.015625,9.99E-07,2.45E-07,44,1.09E-07,3.00E+01,
0.03125,9.99E-07,2.38E-07,1.30E+01,1.16E-07,3.00E+01,
0.046875,9.99E-07,2.38E-07,,1.17E-07,3.00E+01,
0.0625,9.99E-07,2.33E-07,,1.18E-07,3.00E+01,
0.078125,9.99E-07,2.34E-07,,1.21E-07,3.00E+01,
0.09375,9.99E-07,2.34E-07,,1.29E-07,3.00E+01,
0.109375,9.99E-07,2.27E-07,,1.33E-07,3.00E+01,
0.125,9.99E-07,2.30E-07,,1.40E-07,3.00E+01,
0.140625,9.99E-07,2.27E-07,,1.53E-07,3.00E+01,
0.15625,9.99E-07,2.32E-07,,1.57E-07,3.00E+01,
0.171875,9.99E-07,2.34E-07,,1.68E-07,3.00E+01,
0.1875,9.99E-07,2.44E-07,,1.80E-07,3.00E+01,
0.203125,9.99E-07,2.40E-07,,1.90E-07,3.00E+01,
0.21875,9.99E-07,2.46E-07,,2.04E-07,3.00E+01,
0.234375,9.99E-07,2.43E-07,,2.16E-07,3.00E+01,
0.25,9.99E-07,2.59E-07,,2.32E-07,3.00E+01,
0.265625,9.99E-07,2.51E-07,,2.45E-07,3.00E+01,
0.28125,9.99E-07,2.62E-07,,2.52E-07,3.00E+01,
0.296875,9.99E-07,2.52E-07,,2.67E-07,3.00E+01,
0.3125,9.99E-07,2.70E-07,,2.80E-07,3.00E+01,
0.328125,9.99E-07,2.51E-07,,2.94E-07,3.00E+01,
0.34375,9.99E-07,2.72E-07,,3.05E-07,3.00E+01,
0.359375,9.99E-07,2.56E-07,,3.11E-07,3.00E+01,
0.375,9.99E-07,2.71E-07,,3.16E-07,3.00E+01,
0.390625,9.99E-07,2.50E-07,,3.28E-07,3.00E+01,
0.40625,9.99E-07,2.69E-07,,3.37E-07,3.00E+01,
0.421875,9.99E-07,2.54E-07,,3.45E-07,3.00E+01,
0.4375,9.99E-07,2.66E-07,,3.42E-07,3.00E+01,
0.453125,9.99E-07,2.53E-07,,3.34E-07,3.00E+01,
0.46875,9.99E-07,2.63E-07,,3.29E-07,3.00E+01,
0.484375,9.99E-07,2.56E-07,,3.32E-07,3.00E+01,
0.5,9.99E-07,2.61E-07,,3.24E-07,3.00E+01,
0.515625,9.99E-07,2.57E-07,,3.16E-07,3.00E+01,
0.53125,9.99E-07,2.53E-07,,3.07E-07,3.00E+01,
0.546875,9.99E-07,2.60E-07,,2.96E-07,3.00E+01,
0.5625,9.99E-07,2.56E-07,,2.84E-07,3.00E+01,
0.578125,9.99E-07,2.61E-07,,2.68E-07,3.00E+01,
0.59375,9.99E-07,2.53E-07,,2.50E-07,3.00E+01,
0.609375,9.99E-07,2.61E-07,,2.35E-07,3.00E+01,
0.625,9.99E-07,2.56E-07,,2.23E-07,3.00E+01,
0.640625,9.99E-07,2.67E-07,,2.16E-07,3.00E+01,
0.65625,9.99E-07,2.57E-07,,2.04E-07,3.00E+01,
0.671875,9.99E-07,2.68E-07,,1.96E-07,3.00E+01,
0.6875,9.99E-07,2.54E-07,,1.93E-07,3.00E+01,
0.703125,9.99E-07,2.61E-07,,1.86E-07,3.00E+01,
0.71875,9.99E-07,2.53E-07,,1.83E-07,3.00E+01,
0.734375,9.99E-07,2.54E-07,,1.85E-07,3.00E+01,
0.75,9.99E-07,2.50E-07,,1.92E-07,3.00E+01,
0.765625,9.99E-07,2.47E-07,,2.04E-07,3.00E+01,
0.78125,9.99E-07,2.54E-07,,2.19E-07,3.00E+01,
0.796875,9.99E-07,2.47E-07,,2.33E-07,3.00E+01,
0.8125,9.99E-07,2.59E-07,,2.46E-07,3.00E+01,
0.828125,9.99E-07,2.46E-07,,2.56E-07,3.00E+01,
0.84375,9.99E-07,2.55E-07,,2.71E-07,3.00E+01,
0.859375,9.99E-07,2.41E-07,,2.84E-07,3.00E+01,
0.875,9.99E-07,2.54E-07,,2.89E-07,3.00E+01,
0.890625,9.99E-07,2.40E-07,,2.94E-07,3.00E+01,
0.90625,9.99E-07,2.50E-07,,2.91E-07,3.00E+01,
0.921875,9.99E-07,2.46E-07,,2.92E-07,3.00E+01,
0.9375,9.99E-07,2.49E-07,,2.85E-07,3.00E+01,
0.953125,9.99E-07,2.52E-07,,2.73E-07,3.00E+01,
0.96875,9.99E-07,2.44E-07,,2.63E-07,3.00E+01,
0.984375,9.99E-07,2.50E-07,,2.54E-07,3.00E+01,
1,9.99E-07,2.36E-07,,2.39E-07,3.00E+01,
1.015625,9.99E-07,2.49E-07,,2.24E-07,3.00E+01,
1.03125,9.99E-07,2.34E-07,,2.14E-07,3.00E+01,
1.046875,9.99E-07,2.41E-07,,2.02E-07,3.00E+01,
1.0625,9.99E-07,2.27E-07,,1.94E-07,3.00E+01,
1.078125,9.99E-07,2.33E-07,,1.91E-07,3.00E+01,
1.09375,9.99E-07,2.31E-07,,1.98E-07,3.00E+01,
1.109375,9.99E-07,2.33E-07,,2.01E-07,3.00E+01,
1.125,9.99E-07,2.37E-07,,2.08E-07,3.00E+01,
1.140625,9.99E-07,2.29E-07,,2.22E-07,3.00E+01,
1.15625,9.99E-07,2.48E-07,,2.33E-07,3.00E+01,
