InputPower,OutputPowerWithoutDelay,FiberLength,PreviousOutputPowerWithoutDelay
9.99E-07,6.25E-07,10,5.78E-07
9.99E-07,6.46E-07,10,6.25E-07
9.99E-07,5.96E-07,10,6.46E-07
9.99E-07,5.90E-07,10,5.96E-07
9.99E-07,6.49E-07,10,5.90E-07
9.99E-07,6.57E-07,10,6.49E-07
9.99E-07,6.14E-07,10,6.57E-07
9.99E-07,6.06E-07,10,6.14E-07
9.99E-07,6.72E-07,10,6.06E-07
9.99E-07,6.61E-07,10,6.72E-07
9.99E-07,5.89E-07,10,6.61E-07
9.99E-07,6.24E-07,10,5.89E-07
9.99E-07,6.65E-07,10,6.24E-07
9.99E-07,6.36E-07,10,6.65E-07
9.99E-07,5.81E-07,10,6.36E-07
9.99E-07,6.33E-07,10,5.81E-07
9.99E-07,6.66E-07,10,6.33E-07
9.99E-07,6.10E-07,10,6.66E-07
9.99E-07,6.10E-07,10,6.10E-07
9.99E-07,6.79E-07,10,6.10E-07
9.99E-07,6.57E-07,10,6.79E-07
9.99E-07,6.16E-07,10,6.57E-07
9.99E-07,6.40E-07,10,6.16E-07
9.99E-07,6.75E-07,10,6.40E-07
9.99E-07,6.10E-07,10,6.75E-07
9.99E-07,6.04E-07,10,6.10E-07
9.99E-07,6.61E-07,10,6.04E-07
9.99E-07,6.41E-07,10,6.61E-07
9.99E-07,5.85E-07,10,6.41E-07
9.99E-07,6.47E-07,10,5.85E-07
9.99E-07,6.44E-07,10,6.47E-07
9.99E-07,5.84E-07,10,6.44E-07
9.99E-07,6.07E-07,10,5.84E-07
9.99E-07,6.45E-07,10,6.07E-07
9.99E-07,5.95E-07,10,6.45E-07
9.99E-07,6.03E-07,10,5.95E-07
9.99E-07,6.43E-07,10,6.03E-07
9.99E-07,6.05E-07,10,6.43E-07
9.99E-07,5.82E-07,10,6.05E-07
9.99E-07,6.40E-07,10,5.82E-07
9.99E-07,6.12E-07,10,6.40E-07
9.99E-07,5.98E-07,10,6.12E-07
9.99E-07,6.47E-07,10,5.98E-07
9.99E-07,6.56E-07,10,6.47E-07
9.99E-07,6.11E-07,10,6.56E-07
9.99E-07,6.61E-07,10,6.11E-07
9.99E-07,6.50E-07,10,6.61E-07
9.99E-07,5.91E-07,10,6.50E-07
9.99E-07,6.50E-07,10,5.91E-07
9.99E-07,6.56E-07,10,6.50E-07
9.99E-07,6.00E-07,10,6.56E-07
9.99E-07,6.58E-07,10,6.00E-07
9.99E-07,6.45E-07,10,6.58E-07
9.99E-07,6.10E-07,10,6.45E-07
9.99E-07,6.64E-07,10,6.10E-07
9.99E-07,6.50E-07,10,6.64E-07
9.99E-07,6.13E-07,10,6.50E-07
9.99E-07,6.78E-07,10,6.13E-07
9.99E-07,6.39E-07,10,6.78E-07
9.99E-07,6.34E-07,10,6.39E-07
9.99E-07,6.88E-07,10,6.34E-07
9.99E-07,6.28E-07,10,6.88E-07
9.99E-07,6.26E-07,10,6.28E-07
9.99E-07,6.76E-07,10,6.26E-07
9.99E-07,6.25E-07,10,6.76E-07
9.99E-07,6.65E-07,10,6.25E-07
9.99E-07,6.62E-07,10,6.65E-07
9.99E-07,5.98E-07,10,6.62E-07
9.99E-07,6.50E-07,10,5.98E-07
9.99E-07,6.12E-07,10,6.50E-07
9.99E-07,5.88E-07,10,6.12E-07
9.99E-07,6.38E-07,10,5.88E-07
9.99E-07,5.81E-07,10,6.38E-07
9.99E-07,6.11E-07,10,5.81E-07
9.99E-07,6.13E-07,10,6.11E-07
9.99E-07,5.95E-07,10,6.13E-07
9.99E-07,6.57E-07,10,5.95E-07
9.99E-07,6.22E-07,10,6.57E-07
9.99E-07,6.00E-07,10,6.22E-07
9.99E-07,6.36E-07,10,6.00E-07
9.99E-07,5.83E-07,10,6.36E-07
9.99E-07,6.23E-07,10,5.83E-07
9.99E-07,5.95E-07,10,6.23E-07
9.99E-07,5.84E-07,10,5.95E-07
9.99E-07,6.40E-07,10,5.84E-07
9.99E-07,5.94E-07,10,6.40E-07
9.99E-07,6.35E-07,10,5.94E-07
9.99E-07,6.24E-07,10,6.35E-07
9.99E-07,6.06E-07,10,6.24E-07
9.99E-07,6.69E-07,10,6.06E-07
9.99E-07,6.05E-07,10,6.69E-07
9.99E-07,6.53E-07,10,6.05E-07
9.99E-07,6.18E-07,10,6.53E-07
9.99E-07,6.17E-07,10,6.18E-07
9.99E-07,6.53E-07,10,6.17E-07
9.99E-07,6.16E-07,10,6.53E-07
9.99E-07,6.75E-07,10,6.16E-07
9.99E-07,6.41E-07,10,6.75E-07
9.99E-07,6.57E-07,10,6.41E-07
9.99E-07,6.49E-07,10,6.57E-07
9.99E-07,6.17E-07,10,6.49E-07
9.99E-07,6.75E-07,10,6.17E-07
9.99E-07,6.07E-07,10,6.75E-07
9.99E-07,6.59E-07,10,6.07E-07
9.99E-07,6.09E-07,10,6.59E-07
9.99E-07,6.53E-07,10,6.09E-07
9.99E-07,6.37E-07,10,6.53E-07
9.99E-07,6.15E-07,10,6.37E-07
9.99E-07,6.45E-07,10,6.15E-07
9.99E-07,5.90E-07,10,6.45E-07
9.99E-07,6.26E-07,10,5.90E-07
9.99E-07,5.70E-07,10,6.26E-07
9.99E-07,6.17E-07,10,5.70E-07
9.99E-07,5.87E-07,10,6.17E-07
9.99E-07,6.03E-07,10,5.87E-07
9.99E-07,6.09E-07,10,6.03E-07
9.99E-07,5.73E-07,10,6.09E-07
9.99E-07,6.31E-07,10,5.73E-07
9.99E-07,5.81E-07,10,6.31E-07
9.99E-07,6.36E-07,10,5.81E-07
9.99E-07,5.79E-07,10,6.36E-07
9.99E-07,6.45E-07,10,5.79E-07
9.99E-07,5.76E-07,10,6.45E-07
9.99E-07,6.48E-07,10,5.76E-07
9.99E-07,6.05E-07,10,6.48E-07
