Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
0,9.99E-07,7.19E-06,31.046875,2.84E-08,70,
0.015625,9.99E-07,7.06E-06,60.8125,2.60E-08,70,
0.03125,9.99E-07,6.65E-06,2.98E+01,2.65E-08,70,
0.046875,9.99E-07,5.65E-06,,2.34E-08,70,
0.0625,9.99E-07,4.81E-06,,2.31E-08,70,
0.078125,9.99E-07,4.00E-06,,2.13E-08,70,
0.09375,9.99E-07,3.61E-06,,2.24E-08,70,
0.109375,9.99E-07,3.35E-06,,2.03E-08,70,
0.125,9.99E-07,3.32E-06,,2.11E-08,70,
0.140625,9.99E-07,3.56E-06,,1.90E-08,70,
0.15625,9.99E-07,3.71E-06,,1.99E-08,70,
0.171875,9.99E-07,3.59E-06,,1.85E-08,70,
0.1875,9.99E-07,3.62E-06,,1.99E-08,70,
0.203125,9.99E-07,3.45E-06,,1.78E-08,70,
0.21875,9.99E-07,2.80E-06,,1.92E-08,70,
0.234375,9.99E-07,2.40E-06,,1.70E-08,70,
0.25,9.99E-07,2.54E-06,,1.74E-08,70,
0.265625,9.99E-07,3.06E-06,,1.69E-08,70,
0.28125,9.99E-07,3.34E-06,,1.82E-08,70,
0.296875,9.99E-07,2.81E-06,,1.80E-08,70,
0.3125,9.99E-07,2.21E-06,,1.90E-08,70,
0.328125,9.99E-07,1.69E-06,,1.72E-08,70,
0.34375,9.99E-07,1.53E-06,,1.78E-08,70,
0.359375,9.99E-07,1.53E-06,,1.71E-08,70,
0.375,9.99E-07,1.65E-06,,1.84E-08,70,
0.390625,9.99E-07,2.18E-06,,1.74E-08,70,
0.40625,9.99E-07,3.08E-06,,1.94E-08,70,
0.421875,9.99E-07,3.67E-06,,1.91E-08,70,
0.4375,9.99E-07,3.55E-06,,2.05E-08,70,
0.453125,9.99E-07,3.46E-06,,2.09E-08,70,
0.46875,9.99E-07,3.16E-06,,2.35E-08,70,
0.484375,9.99E-07,2.68E-06,,2.28E-08,70,
0.5,9.99E-07,2.25E-06,,2.55E-08,70,
0.515625,9.99E-07,1.91E-06,,2.48E-08,70,
0.53125,9.99E-07,1.51E-06,,2.74E-08,70,
0.546875,9.99E-07,1.19E-06,,2.72E-08,70,
0.5625,9.99E-07,1.01E-06,,2.95E-08,70,
0.578125,9.99E-07,1.28E-06,,2.97E-08,70,
0.59375,9.99E-07,1.44E-06,,3.15E-08,70,
0.609375,9.99E-07,1.38E-06,,3.10E-08,70,
0.625,9.99E-07,9.44E-07,,3.29E-08,70,
0.640625,9.99E-07,6.26E-07,,3.30E-08,70,
0.65625,9.99E-07,3.66E-07,,3.54E-08,70,
0.671875,9.99E-07,1.52E-07,,3.49E-08,70,
0.6875,9.99E-07,3.97E-08,,3.76E-08,70,
0.703125,9.99E-07,4.92E-08,,3.70E-08,70,
0.71875,9.99E-07,1.13E-07,,3.94E-08,70,
0.734375,9.99E-07,1.90E-07,,3.91E-08,70,
0.75,9.99E-07,2.82E-07,,4.18E-08,70,
0.765625,9.99E-07,4.50E-07,,4.02E-08,70,
0.78125,9.99E-07,7.04E-07,,4.28E-08,70,
0.796875,9.99E-07,1.11E-06,,4.25E-08,70,
0.8125,9.99E-07,1.51E-06,,4.49E-08,70,
0.828125,9.99E-07,1.67E-06,,4.49E-08,70,
0.84375,9.99E-07,1.59E-06,,4.64E-08,70,
0.859375,9.99E-07,1.51E-06,,4.54E-08,70,
0.875,9.99E-07,1.33E-06,,4.72E-08,70,
0.890625,9.99E-07,1.19E-06,,4.68E-08,70,
0.90625,9.99E-07,1.26E-06,,4.78E-08,70,
0.921875,9.99E-07,1.33E-06,,4.63E-08,70,
0.9375,9.99E-07,1.45E-06,,4.78E-08,70,
0.953125,9.99E-07,1.26E-06,,4.68E-08,70,
0.96875,9.99E-07,1.32E-06,,4.87E-08,70,
0.984375,9.99E-07,1.43E-06,,4.73E-08,70,
1,9.99E-07,1.29E-06,,4.95E-08,70,
1.015625,9.99E-07,1.08E-06,,4.80E-08,70,
1.03125,9.99E-07,8.35E-07,,4.89E-08,70,
1.046875,9.99E-07,6.14E-07,,4.63E-08,70,
1.0625,9.99E-07,3.89E-07,,4.73E-08,70,
1.078125,9.99E-07,3.08E-07,,4.55E-08,70,
1.09375,9.99E-07,3.75E-07,,4.65E-08,70,
1.109375,9.99E-07,5.51E-07,,4.43E-08,70,
1.125,9.99E-07,6.36E-07,,4.42E-08,70,
1.140625,9.99E-07,6.63E-07,,4.28E-08,70,
1.15625,9.99E-07,6.93E-07,,4.39E-08,70,
1.171875,9.99E-07,5.10E-07,,4.06E-08,70,
1.1875,9.99E-07,3.78E-07,,4.10E-08,70,
1.203125,9.99E-07,3.96E-07,,3.75E-08,70,
1.21875,9.99E-07,5.75E-07,,3.71E-08,70,
1.234375,9.99E-07,6.69E-07,,3.48E-08,70,
1.25,9.99E-07,5.00E-07,,3.59E-08,70,
1.265625,9.99E-07,3.07E-07,,3.30E-08,70,
1.28125,9.99E-07,1.21E-07,,3.30E-08,70,
1.296875,9.99E-07,1.11E-07,,2.99E-08,70,
1.3125,9.99E-07,1.19E-07,,3.08E-08,70,
1.328125,9.99E-07,1.93E-07,,2.73E-08,70,
1.34375,9.99E-07,3.54E-07,,2.86E-08,70,
1.359375,9.99E-07,6.20E-07,,2.68E-08,70,
1.375,9.99E-07,7.54E-07,,2.85E-08,70,
1.390625,9.99E-07,6.73E-07,,2.63E-08,70,
1.40625,9.99E-07,6.49E-07,,3.02E-08,70,
1.421875,9.99E-07,6.69E-07,,2.91E-08,70,
1.4375,9.99E-07,6.44E-07,,3.27E-08,70,
1.453125,9.99E-07,5.76E-07,,3.06E-08,70,
1.46875,9.99E-07,5.05E-07,,3.43E-08,70,
1.484375,9.99E-07,4.36E-07,,3.23E-08,70,
1.5,9.99E-07,3.56E-07,,3.71E-08,70,
1.515625,9.99E-07,2.98E-07,,3.51E-08,70,
1.53125,9.99E-07,4.09E-07,,3.97E-08,70,
1.546875,9.99E-07,6.65E-07,,3.81E-08,70,
1.5625,9.99E-07,8.23E-07,,4.36E-08,70,
1.578125,9.99E-07,6.56E-07,,4.33E-08,70,
1.59375,9.99E-07,4.55E-07,,4.83E-08,70,
1.609375,9.99E-07,3.13E-07,,4.58E-08,70,
1.625,9.99E-07,2.01E-07,,4.93E-08,70,
1.640625,9.99E-07,7.91E-08,,4.66E-08,70,
1.65625,9.99E-07,4.17E-08,,5.19E-08,70,
1.671875,9.99E-07,8.21E-08,,4.92E-08,70,
1.6875,9.99E-07,1.94E-07,,5.23E-08,70,
1.703125,9.99E-07,3.06E-07,,4.90E-08,70,
1.71875,9.99E-07,4.24E-07,,5.37E-08,70,
1.734375,9.99E-07,6.08E-07,,4.91E-08,70,
1.75,9.99E-07,8.22E-07,,5.29E-08,70,
1.765625,9.99E-07,1.04E-06,,4.70E-08,70,
1.78125,9.99E-07,9.51E-07,,5.02E-08,70,
1.796875,9.99E-07,7.10E-07,,4.48E-08,70,
1.8125,9.99E-07,5.10E-07,,4.63E-08,70,
1.828125,9.99E-07,3.19E-07,,4.21E-08,70,
1.84375,9.99E-07,2.09E-07,,4.40E-08,70,
1.859375,9.99E-07,1.45E-07,,4.05E-08,70,
1.875,9.99E-07,1.34E-07,,4.31E-08,70,
1.890625,9.99E-07,1.27E-07,,3.95E-08,70,
1.90625,9.99E-07,9.85E-08,,4.08E-08,70,
1.921875,9.99E-07,1.01E-07,,3.72E-08,70,
1.9375,9.99E-07,1.63E-07,,3.87E-08,70,
1.953125,9.99E-07,2.11E-07,,3.69E-08,70,
1.96875,9.99E-07,2.08E-07,,3.83E-08,70,
1.984375,9.99E-07,1.81E-07,,3.68E-08,70,
2,9.99E-07,1.64E-07,,3.82E-08,70,
2.015625,9.99E-07,1.01E-07,,3.83E-08,70,
