Bits,InputPower,OutputPower
0,9.99E-07,3.47E-06
0.015625,9.99E-07,3.28E-06
0.03125,9.99E-07,3.41E-06
0.046875,9.99E-07,3.84E-06
0.0625,9.99E-07,4.26E-06
0.078125,9.99E-07,4.68E-06
0.09375,9.99E-07,4.68E-06
0.109375,9.99E-07,4.62E-06
0.125,9.99E-07,4.58E-06
0.140625,9.99E-07,4.61E-06
0.15625,9.99E-07,4.39E-06
0.171875,9.99E-07,4.01E-06
0.1875,9.99E-07,3.35E-06
0.203125,9.99E-07,2.66E-06
0.21875,9.99E-07,2.29E-06
0.234375,9.99E-07,2.31E-06
0.25,9.99E-07,2.57E-06
0.265625,9.99E-07,2.77E-06
0.28125,9.99E-07,2.64E-06
0.296875,9.99E-07,2.36E-06
0.3125,9.99E-07,2.06E-06
0.328125,9.99E-07,1.96E-06
0.34375,9.99E-07,2.05E-06
0.359375,9.99E-07,2.16E-06
0.375,9.99E-07,2.08E-06
0.390625,9.99E-07,1.77E-06
0.40625,9.99E-07,1.15E-06
0.421875,9.99E-07,5.90E-07
0.4375,9.99E-07,4.01E-07
0.453125,9.99E-07,5.44E-07
0.46875,9.99E-07,9.02E-07
0.484375,9.99E-07,1.31E-06
0.5,9.99E-07,1.94E-06
0.515625,9.99E-07,2.58E-06
0.53125,9.99E-07,2.93E-06
0.546875,9.99E-07,3.12E-06
0.5625,9.99E-07,3.24E-06
0.578125,9.99E-07,3.24E-06
0.59375,9.99E-07,3.13E-06
0.609375,9.99E-07,3.01E-06
0.625,9.99E-07,2.83E-06
0.640625,9.99E-07,2.44E-06
0.65625,9.99E-07,1.91E-06
0.671875,9.99E-07,1.47E-06
0.6875,9.99E-07,1.26E-06
0.703125,9.99E-07,1.30E-06
0.71875,9.99E-07,1.49E-06
0.734375,9.99E-07,1.78E-06
0.75,9.99E-07,2.16E-06
0.765625,9.99E-07,2.64E-06
0.78125,9.99E-07,3.09E-06
0.796875,9.99E-07,3.34E-06
0.8125,9.99E-07,3.48E-06
0.828125,9.99E-07,3.66E-06
0.84375,9.99E-07,4.13E-06
0.859375,9.99E-07,4.95E-06
0.875,9.99E-07,5.65E-06
0.890625,9.99E-07,6.53E-06
0.90625,9.99E-07,7.34E-06
0.921875,9.99E-07,8.32E-06
0.9375,9.99E-07,9.49E-06
0.953125,9.99E-07,1.01E-05
0.96875,9.99E-07,1.03E-05
0.984375,9.99E-07,1.04E-05
1,9.99E-07,1.02E-05
1.015625,9.99E-07,9.76E-06
1.03125,9.99E-07,9.63E-06
1.046875,9.99E-07,1.01E-05
1.0625,9.99E-07,1.06E-05
1.078125,9.99E-07,1.13E-05
1.09375,9.99E-07,1.19E-05
1.109375,9.99E-07,1.20E-05
1.125,9.99E-07,1.14E-05
1.140625,9.99E-07,1.08E-05
1.15625,9.99E-07,1.04E-05
1.171875,9.99E-07,1.04E-05
1.1875,9.99E-07,1.06E-05
1.203125,9.99E-07,1.13E-05
1.21875,9.99E-07,1.19E-05
1.234375,9.99E-07,1.19E-05
1.25,9.99E-07,1.18E-05
1.265625,9.99E-07,1.14E-05
1.28125,9.99E-07,1.06E-05
1.296875,9.99E-07,9.90E-06
1.3125,9.99E-07,9.46E-06
1.328125,9.99E-07,9.20E-06
1.34375,9.99E-07,8.74E-06
1.359375,9.99E-07,8.39E-06
1.375,9.99E-07,8.66E-06
1.390625,9.99E-07,9.76E-06
1.40625,9.99E-07,1.06E-05
1.421875,9.99E-07,1.10E-05
1.4375,9.99E-07,1.11E-05
1.453125,9.99E-07,1.10E-05
1.46875,9.99E-07,1.11E-05
1.484375,9.99E-07,1.11E-05
1.5,9.99E-07,1.14E-05
1.515625,9.99E-07,1.17E-05
1.53125,9.99E-07,1.20E-05
1.546875,9.99E-07,1.26E-05
1.5625,9.99E-07,1.37E-05
1.578125,9.99E-07,1.46E-05
1.59375,9.99E-07,1.48E-05
1.609375,9.99E-07,1.41E-05
1.625,9.99E-07,1.35E-05
1.640625,9.99E-07,1.36E-05
1.65625,9.99E-07,1.41E-05
1.671875,9.99E-07,1.44E-05
1.6875,9.99E-07,1.44E-05
1.703125,9.99E-07,1.40E-05
1.71875,9.99E-07,1.39E-05
1.734375,9.99E-07,1.39E-05
1.75,9.99E-07,1.44E-05
1.765625,9.99E-07,1.52E-05
1.78125,9.99E-07,1.62E-05
1.796875,9.99E-07,1.62E-05
1.8125,9.99E-07,1.48E-05
1.828125,9.99E-07,1.33E-05
1.84375,9.99E-07,1.21E-05
1.859375,9.99E-07,1.07E-05
1.875,9.99E-07,9.47E-06
1.890625,9.99E-07,8.62E-06
1.90625,9.99E-07,8.28E-06
1.921875,9.99E-07,8.07E-06
1.9375,9.99E-07,8.02E-06
1.953125,9.99E-07,7.95E-06
1.96875,9.99E-07,7.98E-06
1.984375,9.99E-07,7.78E-06
2,9.99E-07,7.68E-06
2.015625,9.99E-07,7.24E-06
2.03125,9.99E-07,6.88E-06
2.046875,9.99E-07,6.41E-06
2.0625,9.99E-07,5.92E-06
2.078125,9.99E-07,5.65E-06
2.09375,9.99E-07,5.44E-06
2.109375,9.99E-07,5.32E-06
2.125,9.99E-07,5.15E-06
2.140625,9.99E-07,5.15E-06
2.15625,9.99E-07,5.24E-06
2.171875,9.99E-07,5.33E-06
2.1875,9.99E-07,5.36E-06
2.203125,9.99E-07,5.90E-06
2.21875,9.99E-07,6.94E-06
2.234375,9.99E-07,8.47E-06
2.25,9.99E-07,1.00E-05
2.265625,9.99E-07,1.14E-05
2.28125,9.99E-07,1.26E-05
2.296875,9.99E-07,1.40E-05
2.3125,9.99E-07,1.53E-05
2.328125,9.99E-07,1.60E-05
2.34375,9.99E-07,1.67E-05
