Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,
1.765625,9.99E-07,4.01E-07,,4.35E-07,
1.78125,9.99E-07,4.12E-07,,4.44E-07,
1.796875,9.99E-07,3.93E-07,,4.50E-07,
1.8125,9.99E-07,4.08E-07,,4.41E-07,
1.828125,9.99E-07,3.89E-07,,4.10E-07,
1.84375,9.99E-07,3.80E-07,,3.85E-07,
1.859375,9.99E-07,4.08E-07,,3.80E-07,
1.875,9.99E-07,3.81E-07,,3.79E-07,
1.890625,9.99E-07,4.04E-07,,4.02E-07,
1.90625,9.99E-07,4.06E-07,,4.35E-07,
1.921875,9.99E-07,3.81E-07,,4.49E-07,
1.9375,9.99E-07,4.09E-07,,4.44E-07,
1.953125,9.99E-07,3.86E-07,,4.21E-07,
1.96875,9.99E-07,3.85E-07,,3.97E-07,
1.984375,9.99E-07,4.06E-07,,3.75E-07,
2,9.99E-07,3.85E-07,,3.73E-07,
2.015625,9.99E-07,3.98E-07,,3.89E-07,
2.03125,9.99E-07,3.94E-07,,4.13E-07,
2.046875,9.99E-07,3.68E-07,,4.27E-07,
2.0625,9.99E-07,4.00E-07,,4.29E-07,
2.078125,9.99E-07,3.83E-07,,4.12E-07,
2.09375,9.99E-07,3.84E-07,,3.82E-07,
2.109375,9.99E-07,4.02E-07,,3.61E-07,
2.125,9.99E-07,3.75E-07,,3.58E-07,
2.140625,9.99E-07,3.99E-07,,3.70E-07,
2.15625,9.99E-07,3.94E-07,,4.02E-07,
2.171875,9.99E-07,3.80E-07,,4.31E-07,
2.1875,9.99E-07,4.18E-07,,4.37E-07,
2.203125,9.99E-07,4.06E-07,,4.13E-07,
2.21875,9.99E-07,3.91E-07,,3.84E-07,
2.234375,9.99E-07,4.13E-07,,3.65E-07,
2.25,9.99E-07,3.94E-07,,3.70E-07,
2.265625,9.99E-07,3.97E-07,,3.94E-07,
2.28125,9.99E-07,4.13E-07,,4.24E-07,
2.296875,9.99E-07,3.93E-07,,4.28E-07,
2.3125,9.99E-07,4.15E-07,,4.13E-07,
2.328125,9.99E-07,4.19E-07,,3.95E-07,
2.34375,9.99E-07,3.90E-07,,3.68E-07,
2.359375,9.99E-07,4.15E-07,,3.62E-07,
2.375,9.99E-07,4.07E-07,,3.78E-07,
2.390625,9.99E-07,3.82E-07,,4.04E-07,
2.40625,9.99E-07,4.07E-07,,4.22E-07,
2.421875,9.99E-07,3.96E-07,,4.11E-07,
2.4375,9.99E-07,3.81E-07,,3.87E-07,
2.453125,9.99E-07,4.06E-07,,3.70E-07,
