Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
0,9.99E-07,4.19E-05,31.046875,2.09E-08,8.00E+01,
0.015625,9.99E-07,4.64E-05,65.015625,1.66E-08,8.00E+01,
0.03125,9.99E-07,5.12E-05,3.40E+01,1.86E-08,8.00E+01,
0.046875,9.99E-07,5.29E-05,,1.69E-08,8.00E+01,
0.0625,9.99E-07,5.14E-05,,1.62E-08,8.00E+01,
0.078125,9.99E-07,4.90E-05,,1.60E-08,8.00E+01,
0.09375,9.99E-07,4.87E-05,,1.39E-08,8.00E+01,
0.109375,9.99E-07,5.01E-05,,1.56E-08,8.00E+01,
0.125,9.99E-07,4.92E-05,,1.32E-08,8.00E+01,
0.140625,9.99E-07,4.62E-05,,1.57E-08,8.00E+01,
0.15625,9.99E-07,4.21E-05,,1.30E-08,8.00E+01,
0.171875,9.99E-07,3.76E-05,,1.42E-08,8.00E+01,
0.1875,9.99E-07,3.32E-05,,1.24E-08,8.00E+01,
0.203125,9.99E-07,2.94E-05,,1.26E-08,8.00E+01,
0.21875,9.99E-07,2.63E-05,,1.21E-08,8.00E+01,
0.234375,9.99E-07,2.28E-05,,1.23E-08,8.00E+01,
0.25,9.99E-07,2.05E-05,,1.26E-08,8.00E+01,
0.265625,9.99E-07,1.93E-05,,1.20E-08,8.00E+01,
0.28125,9.99E-07,1.87E-05,,1.19E-08,8.00E+01,
0.296875,9.99E-07,1.86E-05,,1.15E-08,8.00E+01,
0.3125,9.99E-07,1.89E-05,,1.05E-08,8.00E+01,
0.328125,9.99E-07,1.90E-05,,1.19E-08,8.00E+01,
0.34375,9.99E-07,1.82E-05,,9.95E-09,8.00E+01,
0.359375,9.99E-07,1.81E-05,,1.25E-08,8.00E+01,
0.375,9.99E-07,1.85E-05,,9.69E-09,8.00E+01,
0.390625,9.99E-07,1.88E-05,,1.32E-08,8.00E+01,
0.40625,9.99E-07,1.89E-05,,9.95E-09,8.00E+01,
0.421875,9.99E-07,1.90E-05,,1.28E-08,8.00E+01,
0.4375,9.99E-07,1.89E-05,,1.07E-08,8.00E+01,
0.453125,9.99E-07,1.88E-05,,1.27E-08,8.00E+01,
0.46875,9.99E-07,1.91E-05,,1.17E-08,8.00E+01,
0.484375,9.99E-07,1.97E-05,,1.19E-08,8.00E+01,
0.5,9.99E-07,2.05E-05,,1.27E-08,8.00E+01,
0.515625,9.99E-07,2.17E-05,,1.21E-08,8.00E+01,
0.53125,9.99E-07,2.25E-05,,1.42E-08,8.00E+01,
