Bits,InputPower,OutputPower
0,9.99E-07,4.19E-05
0.015625,9.99E-07,4.64E-05
0.03125,9.99E-07,5.12E-05
0.046875,9.99E-07,5.29E-05
0.0625,9.99E-07,5.14E-05
0.078125,9.99E-07,4.90E-05
0.09375,9.99E-07,4.87E-05
0.109375,9.99E-07,5.01E-05
0.125,9.99E-07,4.92E-05
0.140625,9.99E-07,4.62E-05
0.15625,9.99E-07,4.21E-05
0.171875,9.99E-07,3.76E-05
0.1875,9.99E-07,3.32E-05
0.203125,9.99E-07,2.94E-05
0.21875,9.99E-07,2.63E-05
0.234375,9.99E-07,2.28E-05
0.25,9.99E-07,2.05E-05
0.265625,9.99E-07,1.93E-05
0.28125,9.99E-07,1.87E-05
0.296875,9.99E-07,1.86E-05
0.3125,9.99E-07,1.89E-05
0.328125,9.99E-07,1.90E-05
0.34375,9.99E-07,1.82E-05
0.359375,9.99E-07,1.81E-05
0.375,9.99E-07,1.85E-05
0.390625,9.99E-07,1.88E-05
0.40625,9.99E-07,1.89E-05
0.421875,9.99E-07,1.90E-05
0.4375,9.99E-07,1.89E-05
0.453125,9.99E-07,1.88E-05
0.46875,9.99E-07,1.91E-05
0.484375,9.99E-07,1.97E-05
0.5,9.99E-07,2.05E-05
0.515625,9.99E-07,2.17E-05
0.53125,9.99E-07,2.25E-05
0.546875,9.99E-07,2.25E-05
0.5625,9.99E-07,2.33E-05
0.578125,9.99E-07,2.41E-05
0.59375,9.99E-07,2.50E-05
0.609375,9.99E-07,2.56E-05
0.625,9.99E-07,2.48E-05
0.640625,9.99E-07,2.40E-05
0.65625,9.99E-07,2.42E-05
0.671875,9.99E-07,2.62E-05
0.6875,9.99E-07,2.82E-05
0.703125,9.99E-07,2.85E-05
0.71875,9.99E-07,2.73E-05
0.734375,9.99E-07,2.56E-05
0.75,9.99E-07,2.39E-05
0.765625,9.99E-07,2.17E-05
0.78125,9.99E-07,1.96E-05
0.796875,9.99E-07,1.81E-05
0.8125,9.99E-07,1.70E-05
0.828125,9.99E-07,1.52E-05
0.84375,9.99E-07,1.36E-05
0.859375,9.99E-07,1.18E-05
0.875,9.99E-07,1.11E-05
0.890625,9.99E-07,1.08E-05
0.90625,9.99E-07,1.08E-05
0.921875,9.99E-07,1.14E-05
0.9375,9.99E-07,1.12E-05
0.953125,9.99E-07,1.02E-05
0.96875,9.99E-07,9.05E-06
0.984375,9.99E-07,8.05E-06
1,9.99E-07,6.67E-06
1.015625,9.99E-07,5.42E-06
1.03125,9.99E-07,4.85E-06
1.046875,9.99E-07,4.22E-06
1.0625,9.99E-07,3.49E-06
1.078125,9.99E-07,2.95E-06
1.09375,9.99E-07,2.22E-06
1.109375,9.99E-07,1.28E-06
1.125,9.99E-07,6.82E-07
1.140625,9.99E-07,5.64E-07
1.15625,9.99E-07,7.19E-07
1.171875,9.99E-07,9.20E-07
1.1875,9.99E-07,8.83E-07
1.203125,9.99E-07,8.46E-07
1.21875,9.99E-07,1.03E-06
1.234375,9.99E-07,1.56E-06
1.25,9.99E-07,2.52E-06
1.265625,9.99E-07,3.84E-06
1.28125,9.99E-07,5.34E-06
1.296875,9.99E-07,6.71E-06
1.3125,9.99E-07,8.03E-06
1.328125,9.99E-07,9.19E-06
1.34375,9.99E-07,9.66E-06
1.359375,9.99E-07,9.38E-06
1.375,9.99E-07,8.92E-06
1.390625,9.99E-07,8.08E-06
1.40625,9.99E-07,7.39E-06
1.421875,9.99E-07,6.95E-06
1.4375,9.99E-07,6.68E-06
1.453125,9.99E-07,5.98E-06
1.46875,9.99E-07,5.42E-06
1.484375,9.99E-07,4.92E-06
1.5,9.99E-07,4.73E-06
1.515625,9.99E-07,4.72E-06
1.53125,9.99E-07,4.84E-06
1.546875,9.99E-07,4.91E-06
1.5625,9.99E-07,4.87E-06
1.578125,9.99E-07,5.02E-06
1.59375,9.99E-07,5.36E-06
1.609375,9.99E-07,5.97E-06
1.625,9.99E-07,6.73E-06
1.640625,9.99E-07,7.32E-06
1.65625,9.99E-07,7.80E-06
1.671875,9.99E-07,8.26E-06
1.6875,9.99E-07,8.59E-06
1.703125,9.99E-07,8.64E-06
1.71875,9.99E-07,7.92E-06
1.734375,9.99E-07,6.89E-06
1.75,9.99E-07,6.56E-06
1.765625,9.99E-07,7.00E-06
1.78125,9.99E-07,7.44E-06
1.796875,9.99E-07,7.21E-06
1.8125,9.99E-07,6.25E-06
1.828125,9.99E-07,5.41E-06
1.84375,9.99E-07,4.46E-06
1.859375,9.99E-07,3.37E-06
1.875,9.99E-07,2.51E-06
1.890625,9.99E-07,2.05E-06
1.90625,9.99E-07,1.67E-06
1.921875,9.99E-07,1.28E-06
1.9375,9.99E-07,1.10E-06
1.953125,9.99E-07,1.30E-06
1.96875,9.99E-07,1.45E-06
1.984375,9.99E-07,1.67E-06
2,9.99E-07,1.75E-06
2.015625,9.99E-07,1.52E-06
2.03125,9.99E-07,1.35E-06
2.046875,9.99E-07,1.56E-06
2.0625,9.99E-07,2.02E-06
2.078125,9.99E-07,2.47E-06
2.09375,9.99E-07,3.48E-06
2.109375,9.99E-07,4.44E-06
2.125,9.99E-07,5.10E-06
2.140625,9.99E-07,5.93E-06
2.15625,9.99E-07,6.72E-06
2.171875,9.99E-07,8.06E-06
2.1875,9.99E-07,1.00E-05
2.203125,9.99E-07,1.22E-05
2.21875,9.99E-07,1.31E-05
2.234375,9.99E-07,1.28E-05
2.25,9.99E-07,1.28E-05
2.265625,9.99E-07,1.41E-05
2.28125,9.99E-07,1.53E-05
2.296875,9.99E-07,1.54E-05
2.3125,9.99E-07,1.49E-05
2.328125,9.99E-07,1.52E-05
2.34375,9.99E-07,1.67E-05
2.359375,9.99E-07,1.99E-05
2.375,9.99E-07,2.30E-05
2.390625,9.99E-07,2.64E-05
2.40625,9.99E-07,2.94E-05
