Bits,InputPower,OutputPower
2.640625,9.99E-07,7.67E-08
2.65625,9.99E-07,8.08E-08
2.671875,9.99E-07,1.07E-07
2.6875,9.99E-07,9.72E-08
2.703125,9.99E-07,6.55E-08
2.71875,9.99E-07,8.54E-08
2.734375,9.99E-07,1.23E-07
2.75,9.99E-07,7.77E-08
2.765625,9.99E-07,8.01E-08
2.78125,9.99E-07,1.05E-07
2.796875,9.99E-07,9.74E-08
2.8125,9.99E-07,8.24E-08
2.828125,9.99E-07,1.01E-07
2.84375,9.99E-07,8.64E-08
2.859375,9.99E-07,1.04E-07
2.875,9.99E-07,9.64E-08
2.890625,9.99E-07,8.77E-08
2.90625,9.99E-07,9.83E-08
2.921875,9.99E-07,1.11E-07
2.9375,9.99E-07,9.56E-08
2.953125,9.99E-07,9.18E-08
2.96875,9.99E-07,1.02E-07
2.984375,9.99E-07,1.34E-07
3,9.99E-07,8.58E-08
3.015625,9.99E-07,9.42E-08
3.03125,9.99E-07,1.48E-07
3.046875,9.99E-07,9.99E-08
3.0625,9.99E-07,8.64E-08
3.078125,9.99E-07,1.28E-07
3.09375,9.99E-07,1.18E-07
3.109375,9.99E-07,8.98E-08
3.125,9.99E-07,1.07E-07
3.140625,9.99E-07,1.13E-07
3.15625,9.99E-07,1.06E-07
3.171875,9.99E-07,9.83E-08
3.1875,9.99E-07,9.75E-08
3.203125,9.99E-07,1.05E-07
3.21875,9.99E-07,1.12E-07
3.234375,9.99E-07,8.60E-08
3.25,9.99E-07,1.02E-07
3.265625,9.99E-07,1.18E-07
3.28125,9.99E-07,1.11E-07
3.296875,9.99E-07,7.43E-08
3.3125,9.99E-07,1.35E-07
3.328125,9.99E-07,1.12E-07
3.34375,9.99E-07,8.23E-08
3.359375,9.99E-07,1.20E-07
3.375,9.99E-07,1.16E-07
3.390625,9.99E-07,1.03E-07
3.40625,9.99E-07,9.46E-08
3.421875,9.99E-07,1.08E-07
3.4375,9.99E-07,1.28E-07
3.453125,9.99E-07,7.73E-08
3.46875,9.99E-07,1.17E-07
3.484375,9.99E-07,1.12E-07
3.5,9.99E-07,9.22E-08
3.515625,9.99E-07,1.07E-07
3.53125,9.99E-07,9.87E-08
3.546875,9.99E-07,9.62E-08
3.5625,9.99E-07,1.12E-07
3.578125,9.99E-07,8.63E-08
3.59375,9.99E-07,9.76E-08
3.609375,9.99E-07,1.18E-07
3.625,9.99E-07,9.06E-08
3.640625,9.99E-07,8.92E-08
3.65625,9.99E-07,1.13E-07
3.671875,9.99E-07,1.10E-07
3.6875,9.99E-07,7.48E-08
3.703125,9.99E-07,1.13E-07
3.71875,9.99E-07,1.32E-07
3.734375,9.99E-07,6.84E-08
3.75,9.99E-07,1.12E-07
3.765625,9.99E-07,1.25E-07
3.78125,9.99E-07,8.02E-08
3.796875,9.99E-07,9.14E-08
3.8125,9.99E-07,1.09E-07
3.828125,9.99E-07,9.31E-08
3.84375,9.99E-07,8.43E-08
3.859375,9.99E-07,9.78E-08
3.875,9.99E-07,9.76E-08
3.890625,9.99E-07,9.68E-08
3.90625,9.99E-07,7.60E-08
3.921875,9.99E-07,1.06E-07
3.9375,9.99E-07,9.74E-08
3.953125,9.99E-07,7.82E-08
3.96875,9.99E-07,9.44E-08
3.984375,9.99E-07,1.02E-07
4,9.99E-07,9.46E-08
4.015625,9.99E-07,7.41E-08
4.03125,9.99E-07,1.22E-07
4.046875,9.99E-07,9.18E-08
4.0625,9.99E-07,7.72E-08
4.078125,9.99E-07,1.15E-07
4.09375,9.99E-07,9.46E-08
4.109375,9.99E-07,9.05E-08
4.125,9.99E-07,9.42E-08
4.140625,9.99E-07,1.13E-07
4.15625,9.99E-07,9.14E-08
4.171875,9.99E-07,1.00E-07
4.1875,9.99E-07,1.06E-07
4.203125,9.99E-07,1.03E-07
4.21875,9.99E-07,9.50E-08
4.234375,9.99E-07,9.90E-08
4.25,9.99E-07,1.11E-07
4.265625,9.99E-07,8.99E-08
4.28125,9.99E-07,1.08E-07
4.296875,9.99E-07,9.70E-08
4.3125,9.99E-07,1.05E-07
4.328125,9.99E-07,9.81E-08
4.34375,9.99E-07,8.80E-08
4.359375,9.99E-07,1.28E-07
4.375,9.99E-07,8.11E-08
4.390625,9.99E-07,9.51E-08
4.40625,9.99E-07,1.30E-07
4.421875,9.99E-07,7.72E-08
4.4375,9.99E-07,9.94E-08
4.453125,9.99E-07,1.25E-07
4.46875,9.99E-07,7.89E-08
4.484375,9.99E-07,1.07E-07
4.5,9.99E-07,1.08E-07
4.515625,9.99E-07,8.47E-08
4.53125,9.99E-07,1.08E-07
4.546875,9.99E-07,9.11E-08
4.5625,9.99E-07,1.02E-07
4.578125,9.99E-07,1.00E-07
4.59375,9.99E-07,9.40E-08
4.609375,9.99E-07,1.03E-07
4.625,9.99E-07,9.73E-08
4.640625,9.99E-07,9.88E-08
4.65625,9.99E-07,9.10E-08
4.671875,9.99E-07,1.11E-07
4.6875,9.99E-07,8.76E-08
4.703125,9.99E-07,9.49E-08
4.71875,9.99E-07,1.07E-07
4.734375,9.99E-07,9.02E-08
4.75,9.99E-07,9.25E-08
4.765625,9.99E-07,1.09E-07
4.78125,9.99E-07,1.00E-07
4.796875,9.99E-07,8.47E-08
4.8125,9.99E-07,1.21E-07
4.828125,9.99E-07,9.77E-08
4.84375,9.99E-07,8.98E-08
4.859375,9.99E-07,1.22E-07
4.875,9.99E-07,9.54E-08
4.890625,9.99E-07,9.73E-08
4.90625,9.99E-07,1.21E-07
4.921875,9.99E-07,9.57E-08
4.9375,9.99E-07,1.07E-07
4.953125,9.99E-07,1.10E-07
4.96875,9.99E-07,9.85E-08
4.984375,9.99E-07,1.03E-07
5,9.99E-07,9.99E-08
5.015625,9.99E-07,1.01E-07
5.03125,9.99E-07,9.51E-08
5.046875,9.99E-07,9.83E-08
5.0625,9.99E-07,9.56E-08
5.078125,9.99E-07,9.45E-08
5.09375,9.99E-07,9.18E-08
5.109375,9.99E-07,1.04E-07
5.125,9.99E-07,9.17E-08
5.140625,9.99E-07,1.04E-07
5.15625,9.99E-07,9.53E-08
5.171875,9.99E-07,9.20E-08
5.1875,9.99E-07,1.04E-07
5.203125,9.99E-07,8.84E-08
5.21875,9.99E-07,9.20E-08
5.234375,9.99E-07,1.12E-07
5.25,9.99E-07,8.36E-08
5.265625,9.99E-07,1.05E-07
5.28125,9.99E-07,1.08E-07
5.296875,9.99E-07,8.18E-08
5.3125,9.99E-07,1.17E-07
5.328125,9.99E-07,9.34E-08
5.34375,9.99E-07,9.34E-08
5.359375,9.99E-07,1.05E-07
5.375,9.99E-07,1.00E-07
5.390625,9.99E-07,8.56E-08
5.40625,9.99E-07,1.13E-07
5.421875,9.99E-07,8.75E-08
5.4375,9.99E-07,1.03E-07
5.453125,9.99E-07,1.04E-07
5.46875,9.99E-07,9.32E-08
5.484375,9.99E-07,1.04E-07
5.5,9.99E-07,9.78E-08
5.515625,9.99E-07,9.36E-08
5.53125,9.99E-07,1.13E-07
5.546875,9.99E-07,9.69E-08
5.5625,9.99E-07,9.95E-08
5.578125,9.99E-07,1.23E-07
5.59375,9.99E-07,8.17E-08
5.609375,9.99E-07,1.24E-07
5.625,9.99E-07,1.09E-07
5.640625,9.99E-07,9.68E-08
5.65625,9.99E-07,1.19E-07
5.671875,9.99E-07,1.19E-07
5.6875,9.99E-07,8.76E-08
5.703125,9.99E-07,1.37E-07
5.71875,9.99E-07,1.05E-07
5.734375,9.99E-07,9.13E-08
5.75,9.99E-07,1.31E-07
5.765625,9.99E-07,9.47E-08
5.78125,9.99E-07,9.35E-08
5.796875,9.99E-07,1.34E-07
5.8125,9.99E-07,7.61E-08
5.828125,9.99E-07,1.12E-07
5.84375,9.99E-07,1.13E-07
5.859375,9.99E-07,8.30E-08
5.875,9.99E-07,1.17E-07
5.890625,9.99E-07,9.35E-08
5.90625,9.99E-07,1.06E-07
5.921875,9.99E-07,9.83E-08
5.9375,9.99E-07,1.08E-07
5.953125,9.99E-07,1.01E-07
5.96875,9.99E-07,1.04E-07
5.984375,9.99E-07,1.12E-07
6,9.99E-07,1.03E-07
6.015625,9.99E-07,1.06E-07
6.03125,9.99E-07,1.17E-07
6.046875,9.99E-07,1.03E-07
6.0625,9.99E-07,1.12E-07
6.078125,9.99E-07,1.14E-07
6.09375,9.99E-07,1.05E-07
6.109375,9.99E-07,1.09E-07
6.125,9.99E-07,1.14E-07
6.140625,9.99E-07,1.02E-07
6.15625,9.99E-07,1.13E-07
6.171875,9.99E-07,1.08E-07
6.1875,9.99E-07,1.03E-07
6.203125,9.99E-07,1.10E-07
6.21875,9.99E-07,1.12E-07
6.234375,9.99E-07,1.03E-07
6.25,9.99E-07,1.12E-07
6.265625,9.99E-07,1.07E-07
6.28125,9.99E-07,1.02E-07
6.296875,9.99E-07,1.14E-07
6.3125,9.99E-07,9.83E-08
6.328125,9.99E-07,1.13E-07
