Bits,InputPower,OutputPower
0,9.99E-07,6.33E-07
0.015625,9.99E-07,6.67E-07
0.03125,9.99E-07,6.43E-07
0.046875,9.99E-07,6.61E-07
0.0625,9.99E-07,6.50E-07
0.078125,9.99E-07,6.77E-07
0.09375,9.99E-07,6.54E-07
0.109375,9.99E-07,6.85E-07
0.125,9.99E-07,6.28E-07
0.140625,9.99E-07,6.89E-07
0.15625,9.99E-07,6.29E-07
0.171875,9.99E-07,6.93E-07
0.1875,9.99E-07,6.13E-07
0.203125,9.99E-07,6.77E-07
0.21875,9.99E-07,5.98E-07
0.234375,9.99E-07,6.67E-07
0.25,9.99E-07,5.98E-07
0.265625,9.99E-07,6.59E-07
0.28125,9.99E-07,6.27E-07
0.296875,9.99E-07,6.44E-07
0.3125,9.99E-07,6.31E-07
0.328125,9.99E-07,6.13E-07
0.34375,9.99E-07,6.26E-07
0.359375,9.99E-07,5.72E-07
0.375,9.99E-07,6.16E-07
0.390625,9.99E-07,5.77E-07
0.40625,9.99E-07,6.20E-07
0.421875,9.99E-07,5.86E-07
0.4375,9.99E-07,6.19E-07
0.453125,9.99E-07,6.24E-07
0.46875,9.99E-07,5.93E-07
0.484375,9.99E-07,6.32E-07
0.5,9.99E-07,5.94E-07
0.515625,9.99E-07,6.72E-07
0.53125,9.99E-07,6.02E-07
0.546875,9.99E-07,6.37E-07
0.5625,9.99E-07,6.07E-07
0.578125,9.99E-07,6.14E-07
0.59375,9.99E-07,6.59E-07
0.609375,9.99E-07,6.09E-07
0.625,9.99E-07,6.67E-07
0.640625,9.99E-07,6.20E-07
0.65625,9.99E-07,6.35E-07
0.671875,9.99E-07,6.44E-07
0.6875,9.99E-07,6.02E-07
0.703125,9.99E-07,6.67E-07
0.71875,9.99E-07,6.15E-07
0.734375,9.99E-07,6.61E-07
0.75,9.99E-07,6.48E-07
0.765625,9.99E-07,6.32E-07
0.78125,9.99E-07,6.83E-07
0.796875,9.99E-07,6.14E-07
0.8125,9.99E-07,6.58E-07
0.828125,9.99E-07,6.37E-07
0.84375,9.99E-07,6.03E-07
